,Image,F1,Jaccard,Recall,Precision
213,1411.png,0.8976660682226212,0.8143322475570033,0.847457627118644,0.9541984732824428
214,244.png,0.9700511322132944,0.9418439716312057,0.9526542324246772,0.9880952380952381
215,2609.png,0.7528005974607915,0.6035928143712574,0.9645933014354067,0.6172688303735456
216,855.png,0.8253164556962026,0.7025862068965517,0.9456127628716461,0.7321729365524986
217,2909.png,0.0,0.0,0.0,0.0
218,1207.png,0.8843537414965986,0.7926829268292683,0.7975460122699386,0.9923664122137404
219,2593.png,0.9173728813559323,0.8473581213307241,0.8863868986693961,0.9506037321624589
220,184.png,0.6337448559670782,0.463855421686747,0.9058823529411765,0.4873417721518987
221,2060.png,0.0,0.0,0.0,0.0
222,159.png,0.9083665338645419,0.8321167883211679,0.8491620111731844,0.9764453961456103
223,512.png,0.9832603656966262,0.9670719351570415,0.9724910850738665,0.9942708333333333
224,2732.png,0.6011173184357542,0.42971246006389774,0.47192982456140353,0.8276923076923077
225,2994.png,0.20637329286798178,0.11505922165820642,0.12420091324200913,0.6098654708520179
226,2394.png,0.6177474402730375,0.4469135802469136,0.541267942583732,0.71939586645469
227,1420.png,0.9247311827956989,0.86,0.8739837398373984,0.9817351598173516
228,1814.png,0.8602941176470589,0.7548387096774194,0.9790794979079498,0.7672131147540984
229,782.png,0.8116860260471664,0.6830568720379147,0.6895933014354066,0.9863130881094953
230,1437.png,0.8892525913802509,0.8005893909626719,0.9975520195838433,0.8021653543307087
231,2300.png,0.4635983263598326,0.3017429193899782,1.0,0.3017429193899782
232,2801.png,0.8757097791798107,0.7789001122334456,0.937204591492235,0.8217880402605092
233,2418.png,0.912311780336581,0.8387622149837134,0.8394458027709861,0.9990300678952473
234,1955.png,0.7818041634541248,0.6417721518987342,0.6450381679389313,0.9921722113502935
235,1342.png,0.9368421052631578,0.8811881188118812,0.8849431818181818,0.9952076677316294
236,1585.png,0.9535143175901823,0.9111584932480455,0.991492652745553,0.9183381088825215
237,6.png,0.8996212121212123,0.8175559380378657,0.8512544802867383,0.9538152610441767
238,718.png,0.6702269692923898,0.5040160642570282,0.5236439499304589,0.930778739184178
239,437.png,0.9258160237388723,0.861878453038674,0.9512195121951219,0.9017341040462428
240,1792.png,0.4827586206896553,0.3181818181818182,0.9333333333333333,0.32558139534883723
241,1681.png,0.9472999349381913,0.899876390605686,0.9321382842509603,0.9629629629629629
242,750.png,0.8582910321489002,0.7517599110781771,0.7688518378173551,0.971278123504069
243,1826.png,0.955460244143847,0.9147188881869868,0.9570389953734303,0.9538866930171278
244,2061.png,0.7333333333333334,0.5789473684210527,0.7971014492753623,0.6790123456790124
245,2858.png,0.8863473909935669,0.7958921694480102,0.8,0.9935897435897436
246,2101.png,0.5924112607099143,0.42086956521739133,0.5945945945945946,0.5902439024390244
247,1006.png,0.8697986577181208,0.7695961995249406,0.8181818181818182,0.9283667621776505
248,2808.png,0.6620570440795159,0.49483204134366926,1.0,0.49483204134366926
249,1803.png,0.8549019607843137,0.7465753424657534,0.7730496453900709,0.956140350877193
250,1491.png,0.8898678414096917,0.8015873015873016,0.957345971563981,0.831275720164609
251,3012.png,0.0,0.0,0.0,0.0
252,2566.png,0.8394276629570747,0.7232876712328767,0.7764705882352941,0.9134948096885813
253,841.png,0.9411764705882353,0.8888888888888888,0.9769335142469471,0.9079445145018915
254,2922.png,0.9360176503033645,0.8797304302747537,0.9912383177570093,0.88662486938349
255,2359.png,0.5638741998330087,0.3926356589147287,0.6036948748510131,0.528981723237598
256,1304.png,0.877247849882721,0.7813370473537604,0.8630769230769231,0.8918918918918919
257,1063.png,0.8872427983539095,0.7973372781065089,0.7985185185185185,0.9981481481481481
258,769.png,0.906055900621118,0.8282469836763662,0.9426494345718901,0.8721973094170403
259,2246.png,0.9185360094451004,0.8493449781659389,0.8587196467991169,0.9873096446700508
260,2362.png,0.6516052318668253,0.48324514991181655,0.48324514991181655,1.0
261,550.png,0.7988165680473374,0.6650246305418719,0.675,0.9782608695652174
262,2878.png,0.8803523366772693,0.7862762237762237,0.9553903345724907,0.8162431941923775
263,1021.png,0.8805194805194805,0.7865429234338747,0.8162118780096308,0.9558270676691729
264,197.png,0.5607369027058147,0.3896,0.39006808169803764,0.9969293756397134
265,1274.png,0.8046462513199577,0.6731448763250883,0.9719387755102041,0.6864864864864865
266,915.png,0.7750419697817571,0.6327089995431704,0.6481048198408984,0.9638135003479471
267,2360.png,0.6522388059701493,0.4839424141749723,0.5524652338811631,0.7959927140255009
268,1553.png,0.8111011638316922,0.6822289156626506,0.6990740740740741,0.9658848614072495
269,2262.png,0.952662721893491,0.9096045197740112,0.9534686971235194,0.9518581081081081
270,2096.png,0.8363636363636363,0.71875,0.7237762237762237,0.9904306220095693
271,2385.png,0.9025955902874685,0.8224821973550356,0.8448275862068966,0.9688436189334931
272,2073.png,0.6978317087726278,0.5358997861289337,0.6088163832002776,0.8173345759552656
273,979.png,0.904549509366637,0.8257328990228013,0.8666666666666667,0.9458955223880597
274,1658.png,0.8659003831417624,0.7635135135135135,0.8071428571428572,0.9338842975206612
275,864.png,0.8833358883949104,0.7910488742449203,0.8278735632183908,0.9467630627670063
